37.252.189.207:443#AT [199.53ms 4.56Mbps]
141.101.90.109:443#AT [230.87ms 4.65Mbps]
213.111.149.58:8443#AT [291.92ms 3.85Mbps]
141.101.90.108:443#AT [224.68ms 3.23Mbps]
152.53.110.45:443#AT [244.37ms 2.17Mbps]
185.86.77.181:8443#AT [374.42ms 2.83Mbps]
152.53.67.190:443#AT [254.36ms 1.78Mbps]
152.53.110.2:443#AT [281.75ms 1.55Mbps]
213.111.148.137:443#AT [265.13ms 1.71Mbps]
173.242.63.235:8443#AT [364.06ms 1.61Mbps]
159.195.112.41:443#AT [257.92ms 1.67Mbps]
45.13.38.118:443#AT [256.78ms 0.48Mbps]
91.244.70.45:8443#AT [312.84ms 0.41Mbps]
91.238.105.102:443#AT [385.67ms 1.07Mbps]
