202.27.229.7:443#AU [315.13ms 15.88Mbps]
206.168.133.137:443#AU [195.16ms 3.64Mbps]
176.97.68.17:443#AU [229.04ms 3.60Mbps]
123.51.23.113:443#AU [254.32ms 3.79Mbps]
172.65.90.0:443#AU [271.56ms 1.70Mbps]
125.7.24.251:443#AU [199.28ms 1.64Mbps]
3.27.159.64:443#AU [304.84ms 1.27Mbps]
160.187.110.199:443#AU [323.92ms 1.37Mbps]
119.9.134.7:443#AU [312.93ms 3.11Mbps]
202.125.16.41:8443#AU [351.01ms 0.33Mbps]
170.64.232.210:443#AU [303.94ms 3.68Mbps]
207.211.157.214:443#AU [364.80ms 0.36Mbps]
209.38.82.114:443#AU [330.37ms 1.90Mbps]
149.28.171.207:443#AU [316.86ms 1.96Mbps]
