91.247.36.169:8443#BG [270.29ms 13.31Mbps]
185.214.99.241:8443#BG [274.04ms 12.66Mbps]
91.247.37.117:8443#BG [268.04ms 12.37Mbps]
78.128.99.216:443#BG [279.26ms 10.98Mbps]
185.223.253.172:443#BG [269.05ms 10.18Mbps]
13.140.29.253:443#BG [304.66ms 8.93Mbps]
31.40.204.243:2053#BG [307.08ms 9.27Mbps]
185.232.171.125:2053#BG [314.50ms 9.31Mbps]
91.247.37.14:443#BG [204.00ms 5.40Mbps]
13.140.29.45:443#BG [327.04ms 7.58Mbps]
185.223.253.13:443#BG [264.01ms 0.78Mbps]
185.203.119.221:2053#BG [332.29ms 0.33Mbps]
203.202.232.253:8443#BG [316.79ms 1.18Mbps]
185.223.253.115:443#BG [227.19ms 1.06Mbps]
