167.99.183.13:443#CA [288.37ms 10.23Mbps]
24.84.0.55:443#CA [255.08ms 3.64Mbps]
24.109.36.190:8443#CA [258.51ms 2.74Mbps]
65.49.232.101:443#CA [237.09ms 2.23Mbps]
174.4.69.68:443#CA [268.56ms 2.10Mbps]
166.1.228.218:443#CA [277.58ms 2.10Mbps]
40.233.87.120:443#CA [290.37ms 2.11Mbps]
172.65.90.7:443#CA [198.04ms 0.19Mbps]
198.199.106.194:443#CA [250.19ms 1.01Mbps]
40.233.116.225:443#CA [274.03ms 1.85Mbps]
172.65.90.5:443#CA [229.70ms 0.19Mbps]
68.183.207.130:443#CA [268.21ms 0.61Mbps]
159.203.18.237:443#CA [287.98ms 1.97Mbps]
38.9.96.61:443#CA [299.95ms 0.47Mbps]
213.255.209.61:8443#CA [278.95ms 0.34Mbps]
