199.68.196.67:443#CH [279.22ms 9.21Mbps]
194.154.29.164:443#CH [313.28ms 9.95Mbps]
194.154.29.72:443#CH [291.13ms 7.91Mbps]
176.10.119.35:443#CH [233.57ms 5.45Mbps]
194.154.29.151:8443#CH [332.80ms 5.72Mbps]
141.227.149.235:2053#CH [192.11ms 1.45Mbps]
185.195.69.72:443#CH [253.47ms 1.57Mbps]
83.228.193.229:443#CH [298.03ms 2.14Mbps]
84.234.16.169:443#CH [295.47ms 0.18Mbps]
89.127.196.14:443#CH [295.79ms 0.18Mbps]
152.67.70.113:2053#CH [345.83ms 1.49Mbps]
91.245.225.79:8443#CH [258.88ms 0.63Mbps]
84.234.17.132:443#CH [307.51ms 1.23Mbps]
179.237.67.171:8443#CH [357.69ms 0.32Mbps]
179.237.104.215:443#CH [368.49ms 1.55Mbps]
