104.20.51.225:443#DE [202.85ms 11.55Mbps]
104.20.58.96:443#DE [209.32ms 9.79Mbps]
104.20.52.56:443#DE [251.40ms 11.30Mbps]
104.20.49.125:443#DE [237.16ms 11.18Mbps]
104.20.54.7:443#DE [225.43ms 12.28Mbps]
104.20.60.187:443#DE [255.01ms 10.26Mbps]
104.20.53.53:443#DE [226.80ms 11.05Mbps]
104.20.48.96:443#DE [254.64ms 11.41Mbps]
104.20.50.163:443#DE [180.78ms 9.34Mbps]
104.20.59.45:443#DE [187.11ms 11.74Mbps]
104.20.54.47:443#DE [246.04ms 10.57Mbps]
104.20.57.106:443#DE [235.26ms 8.73Mbps]
104.20.58.114:443#DE [218.47ms 9.87Mbps]
104.20.59.211:443#DE [242.87ms 10.20Mbps]
104.20.61.182:443#DE [214.77ms 10.85Mbps]
104.20.53.103:443#DE [247.02ms 11.47Mbps]
104.20.56.1:443#DE [254.87ms 10.19Mbps]
104.20.52.78:443#DE [221.98ms 9.84Mbps]
104.20.61.56:443#DE [299.18ms 9.54Mbps]
104.20.58.36:443#DE [310.66ms 11.66Mbps]
104.20.48.212:443#DE [257.04ms 11.33Mbps]
104.20.55.98:443#DE [190.06ms 9.55Mbps]
104.20.55.26:443#DE [279.79ms 9.36Mbps]
104.20.60.176:443#DE [227.98ms 11.76Mbps]
104.20.49.200:443#DE [182.27ms 9.88Mbps]
104.20.63.150:443#DE [220.74ms 9.23Mbps]
104.20.53.253:443#DE [189.28ms 8.93Mbps]
104.20.63.208:443#DE [231.74ms 8.89Mbps]
104.20.60.84:443#DE [263.13ms 10.35Mbps]
104.20.59.175:443#DE [232.79ms 9.73Mbps]
104.20.55.162:443#DE [246.36ms 11.58Mbps]
104.20.48.88:443#DE [218.20ms 9.50Mbps]
104.20.49.234:443#DE [182.31ms 9.84Mbps]
104.20.62.189:443#DE [219.76ms 9.60Mbps]
104.20.59.17:443#DE [279.37ms 10.05Mbps]
104.20.60.100:443#DE [180.79ms 9.65Mbps]
104.20.52.33:443#DE [224.57ms 11.63Mbps]
104.20.56.150:443#DE [220.23ms 10.18Mbps]
104.20.58.136:443#DE [258.76ms 9.21Mbps]
104.20.59.167:443#DE [182.76ms 9.69Mbps]
104.20.50.28:443#DE [234.76ms 8.22Mbps]
104.20.52.230:443#DE [191.42ms 7.52Mbps]
104.20.60.64:443#DE [290.22ms 9.69Mbps]
104.20.60.114:443#DE [238.91ms 9.42Mbps]
