45.153.48.132:443#DK [281.94ms 1.90Mbps]
92.113.148.239:8443#DK [251.15ms 1.62Mbps]
193.181.215.4:8443#DK [293.80ms 3.75Mbps]
193.180.213.155:443#DK [343.89ms 1.46Mbps]
195.88.89.92:8443#DK [252.65ms 0.42Mbps]
45.148.31.204:443#DK [284.78ms 1.86Mbps]
193.180.208.169:8443#DK [331.70ms 3.27Mbps]
193.181.217.70:2053#DK [284.96ms 3.24Mbps]
193.180.215.69:443#DK [287.24ms 1.19Mbps]
92.113.150.186:8443#DK [288.55ms 1.51Mbps]
193.181.213.53:443#DK [340.20ms 4.91Mbps]
193.180.209.136:443#DK [288.61ms 1.49Mbps]
45.153.48.236:8443#DK [210.95ms 0.41Mbps]
193.181.212.25:443#DK [299.26ms 2.92Mbps]
193.180.209.28:443#DK [284.62ms 2.36Mbps]
193.181.210.232:443#DK [334.70ms 2.73Mbps]
