5.101.114.27:8443#EE [302.47ms 5.14Mbps]
5.45.115.162:2083#EE [272.58ms 4.35Mbps]
5.45.115.238:8443#EE [271.39ms 4.02Mbps]
5.101.115.69:8443#EE [257.16ms 4.23Mbps]
194.76.227.72:443#EE [268.78ms 3.64Mbps]
5.175.178.254:8443#EE [305.37ms 4.30Mbps]
5.101.114.177:443#EE [211.78ms 3.30Mbps]
46.36.217.167:443#EE [289.16ms 1.85Mbps]
46.36.216.57:443#EE [236.59ms 2.40Mbps]
46.36.216.195:443#EE [257.23ms 2.45Mbps]
5.45.122.10:8443#EE [325.15ms 0.53Mbps]
46.22.211.155:8443#EE [316.00ms 0.31Mbps]
5.101.118.52:443#EE [267.28ms 2.06Mbps]
