141.101.90.125:443#ES [235.98ms 4.26Mbps]
141.101.90.124:443#ES [228.57ms 3.51Mbps]
141.101.90.117:443#ES [229.87ms 4.08Mbps]
141.101.90.116:443#ES [230.04ms 2.23Mbps]
185.47.131.138:443#ES [291.42ms 2.55Mbps]
83.147.242.56:8443#ES [275.29ms 2.88Mbps]
82.223.109.250:443#ES [217.41ms 2.16Mbps]
185.114.72.31:2053#ES [277.36ms 2.12Mbps]
35.42.169.95:443#ES [296.14ms 1.69Mbps]
92.178.109.187:443#ES [308.49ms 2.96Mbps]
162.141.93.191:443#ES [265.05ms 1.71Mbps]
208.85.19.254:8443#ES [259.75ms 0.30Mbps]
188.213.5.74:443#ES [256.92ms 0.18Mbps]
152.114.195.163:8443#ES [263.18ms 1.26Mbps]
91.149.242.134:443#ES [347.69ms 0.18Mbps]
65.20.105.75:443#ES [317.55ms 0.43Mbps]
65.20.103.129:8443#ES [350.13ms 0.32Mbps]
172.233.97.34:443#ES [310.85ms 0.18Mbps]
31.57.190.13:443#ES [347.42ms 0.25Mbps]
