89.167.97.200:8443#FI [219.67ms 0.38Mbps]
46.62.251.203:443#FI [235.77ms 0.57Mbps]
65.21.183.79:443#FI [226.63ms 0.23Mbps]
193.84.3.115:8443#FI [254.30ms 0.42Mbps]
62.238.12.74:2096#FI [255.37ms 0.41Mbps]
89.167.71.131:443#FI [259.57ms 0.33Mbps]
37.27.27.1:443#FI [265.32ms 0.26Mbps]
93.85.236.9:443#FI [277.90ms 0.25Mbps]
65.109.243.199:8443#FI [295.80ms 0.48Mbps]
65.21.156.174:8443#FI [308.10ms 0.36Mbps]
87.251.16.237:8443#FI [323.31ms 0.19Mbps]
31.76.102.160:8443#FI [336.06ms 0.31Mbps]
5.61.89.87:8443#FI [338.91ms 0.32Mbps]
157.180.92.230:443#FI [223.69ms 0.23Mbps]
65.109.59.167:2096#FI [307.88ms 0.36Mbps]
95.217.237.91:443#FI [320.36ms 0.35Mbps]
204.168.162.190:443#FI [308.47ms 0.19Mbps]
