146.70.37.253:443#FR [249.52ms 3.03Mbps]
217.60.63.206:2053#FR [199.70ms 1.22Mbps]
95.182.81.172:443#FR [204.43ms 1.26Mbps]
141.101.90.111:443#FR [237.00ms 0.95Mbps]
45.39.255.27:2053#FR [308.50ms 2.04Mbps]
45.38.228.70:8443#FR [311.30ms 1.91Mbps]
23.88.97.94:8443#FR [287.53ms 0.85Mbps]
45.137.150.223:443#FR [221.44ms 0.48Mbps]
31.57.109.126:8443#FR [251.92ms 1.03Mbps]
147.78.0.186:2053#FR [273.01ms 0.48Mbps]
31.56.228.151:443#FR [253.31ms 2.01Mbps]
45.38.228.94:8443#FR [298.45ms 0.69Mbps]
178.105.137.225:443#FR [289.30ms 0.24Mbps]
94.183.187.80:443#FR [266.78ms 0.69Mbps]
141.101.90.110:443#FR [305.26ms 0.19Mbps]
31.58.76.68:8443#FR [243.90ms 1.65Mbps]
38.54.59.70:443#FR [296.74ms 0.21Mbps]
151.242.159.86:443#FR [263.70ms 0.47Mbps]
35.241.172.224:443#FR [307.43ms 0.19Mbps]
