172.64.153.2:443#HK [53.96ms 75.47Mbps]
104.18.34.254:443#HK [57.70ms 76.11Mbps]
162.159.141.246:443#HK [55.59ms 74.36Mbps]
104.17.107.139:443#HK [76.59ms 4.75Mbps]
104.16.241.205:443#HK [78.56ms 3.90Mbps]
104.17.184.153:443#HK [74.24ms 3.65Mbps]
104.17.147.208:443#HK [78.47ms 3.60Mbps]
104.16.251.158:443#HK [80.23ms 3.67Mbps]
104.16.250.64:443#HK [77.50ms 3.44Mbps]
104.17.144.245:443#HK [84.00ms 3.63Mbps]
104.19.55.56:443#HK [81.57ms 3.38Mbps]
104.16.148.187:443#HK [83.20ms 3.27Mbps]
104.16.158.101:443#HK [79.23ms 3.01Mbps]
104.17.146.103:443#HK [83.89ms 3.25Mbps]
104.17.180.105:443#HK [78.88ms 2.96Mbps]
104.17.105.187:443#HK [81.45ms 2.76Mbps]
104.18.45.44:443#HK [82.61ms 2.75Mbps]
104.17.179.79:443#HK [84.24ms 2.79Mbps]
104.16.150.185:443#HK [79.38ms 2.49Mbps]
104.19.33.252:443#HK [84.78ms 2.76Mbps]
104.17.184.109:443#HK [77.61ms 2.31Mbps]
104.19.38.34:443#HK [87.77ms 2.84Mbps]
104.17.165.126:443#HK [79.50ms 2.36Mbps]
104.17.179.251:443#HK [75.77ms 2.10Mbps]
104.17.28.234:443#HK [76.64ms 2.08Mbps]
104.17.106.39:443#HK [82.94ms 2.31Mbps]
104.19.154.218:443#HK [81.81ms 2.21Mbps]
104.17.185.2:443#HK [81.08ms 2.17Mbps]
104.17.185.34:443#HK [81.52ms 2.17Mbps]
104.19.148.219:443#HK [80.31ms 3.83Mbps]
104.17.218.35:443#HK [81.36ms 2.11Mbps]
104.19.149.182:443#HK [82.42ms 2.14Mbps]
104.17.25.11:443#HK [74.98ms 1.74Mbps]
172.64.229.202:443#HK [84.11ms 2.18Mbps]
104.17.20.55:443#HK [81.63ms 2.04Mbps]
104.19.155.178:443#HK [77.44ms 1.81Mbps]
104.19.36.183:443#HK [76.84ms 1.75Mbps]
104.17.218.122:443#HK [80.88ms 1.93Mbps]
104.17.217.102:443#HK [83.42ms 2.05Mbps]
104.16.240.81:443#HK [83.25ms 2.00Mbps]
104.19.154.105:443#HK [84.21ms 2.05Mbps]
104.19.156.218:443#HK [82.81ms 1.95Mbps]
104.16.144.161:443#HK [81.05ms 1.84Mbps]
104.19.41.86:443#HK [74.26ms 1.47Mbps]
104.19.60.160:443#HK [83.64ms 1.96Mbps]
104.17.30.129:443#HK [77.65ms 1.62Mbps]
104.17.120.255:443#HK [75.12ms 1.45Mbps]
104.17.49.78:443#HK [88.64ms 2.14Mbps]
104.16.146.252:443#HK [80.63ms 1.72Mbps]
104.19.42.242:443#HK [77.72ms 1.53Mbps]
