64.227.174.213:2053#IN [175.80ms 2.45Mbps]
168.144.68.202:443#IN [149.90ms 1.53Mbps]
167.71.238.69:443#IN [170.34ms 1.66Mbps]
168.144.155.167:443#IN [174.55ms 1.90Mbps]
68.233.107.29:443#IN [175.72ms 1.49Mbps]
64.227.164.129:443#IN [173.78ms 1.84Mbps]
168.144.154.79:443#IN [174.19ms 1.78Mbps]
20.219.46.208:8443#IN [159.20ms 0.81Mbps]
157.20.27.35:443#IN [193.22ms 1.54Mbps]
216.10.243.159:443#IN [203.35ms 1.10Mbps]
65.2.215.47:8443#IN [217.50ms 0.89Mbps]
52.66.200.252:443#IN [248.15ms 0.84Mbps]
5.253.28.113:443#IN [199.43ms 0.72Mbps]
172.65.90.10:443#IN [262.99ms 0.29Mbps]
139.84.156.127:443#IN [338.90ms 2.56Mbps]
65.20.85.14:443#IN [324.95ms 0.69Mbps]
139.84.174.65:443#IN [344.32ms 0.81Mbps]
