57.131.32.25:2053#IT [236.77ms 4.67Mbps]
141.101.90.113:443#IT [217.19ms 2.36Mbps]
89.185.82.188:443#IT [299.95ms 3.09Mbps]
4.232.64.201:443#IT [296.32ms 1.65Mbps]
151.241.215.143:8443#IT [271.80ms 1.13Mbps]
141.101.90.112:443#IT [226.21ms 0.20Mbps]
94.177.160.180:443#IT [292.77ms 0.16Mbps]
80.211.24.141:443#IT [295.90ms 0.21Mbps]
31.14.140.155:443#IT [304.65ms 0.22Mbps]
80.211.134.75:443#IT [313.74ms 0.16Mbps]
179.255.190.4:443#IT [328.74ms 0.18Mbps]
113.30.151.151:2053#IT [349.18ms 0.35Mbps]
132.243.255.97:8443#IT [389.65ms 0.29Mbps]
179.255.190.5:443#IT [309.12ms 0.24Mbps]
179.255.190.3:443#IT [269.49ms 0.21Mbps]
