64.204.48.118:8443#JP [85.97ms 9.87Mbps]
43.163.244.175:443#JP [115.91ms 6.46Mbps]
18.166.216.113:443#JP [114.50ms 6.12Mbps]
172.237.0.160:443#JP [89.97ms 4.70Mbps]
45.192.243.176:443#JP [101.39ms 5.21Mbps]
87.76.198.228:443#JP [93.18ms 4.95Mbps]
45.192.200.205:443#JP [118.83ms 5.21Mbps]
172.237.6.212:443#JP [114.59ms 4.45Mbps]
118.25.185.127:8443#JP [71.89ms 1.20Mbps]
124.156.215.193:443#JP [80.00ms 0.47Mbps]
64.83.40.108:443#JP [112.69ms 1.82Mbps]
45.192.243.42:443#JP [131.10ms 2.52Mbps]
3.112.67.101:443#JP [112.37ms 1.56Mbps]
124.156.208.160:443#JP [108.70ms 0.78Mbps]
45.192.242.145:443#JP [108.25ms 0.51Mbps]
43.165.191.60:443#JP [104.57ms 0.55Mbps]
64.83.39.176:443#JP [138.02ms 1.25Mbps]
45.94.40.102:443#JP [115.45ms 0.35Mbps]
43.174.218.1:443#JP [194.53ms 0.22Mbps]
43.174.195.1:443#JP [198.52ms 0.20Mbps]
172.65.90.13:443#JP [220.73ms 0.19Mbps]
172.65.90.89:443#JP [235.46ms 0.18Mbps]
