54.180.141.246:443#KR [80.96ms 4.65Mbps]
13.124.169.29:443#KR [72.33ms 3.61Mbps]
119.28.162.39:8443#KR [105.37ms 4.23Mbps]
45.93.30.168:443#KR [77.77ms 0.45Mbps]
43.164.134.99:443#KR [101.59ms 1.55Mbps]
47.80.57.116:443#KR [144.88ms 1.83Mbps]
129.154.50.72:8443#KR [123.90ms 0.83Mbps]
152.67.210.234:443#KR [116.24ms 0.51Mbps]
110.10.178.240:443#KR [121.82ms 0.43Mbps]
132.145.91.135:443#KR [138.31ms 0.19Mbps]
172.65.90.34:443#KR [213.73ms 3.05Mbps]
172.65.90.33:443#KR [219.77ms 0.50Mbps]
172.65.90.35:443#KR [233.92ms 1.33Mbps]
130.162.137.247:443#KR [246.23ms 0.33Mbps]
172.65.90.32:443#KR [230.34ms 0.20Mbps]
