185.80.129.84:443#LT [285.78ms 6.89Mbps]
45.43.76.184:2053#LT [252.68ms 2.55Mbps]
91.197.3.7:443#LT [254.04ms 3.18Mbps]
185.34.52.147:443#LT [200.66ms 0.18Mbps]
192.144.39.33:443#LT [208.58ms 0.22Mbps]
78.153.131.199:8443#LT [228.87ms 0.52Mbps]
213.183.55.153:8443#LT [229.41ms 0.47Mbps]
5.34.213.125:443#LT [227.50ms 0.16Mbps]
89.125.248.243:443#LT [233.23ms 0.20Mbps]
84.32.209.76:443#LT [245.12ms 0.23Mbps]
45.43.76.30:443#LT [248.88ms 0.17Mbps]
45.43.76.39:8443#LT [270.06ms 0.48Mbps]
85.206.161.200:443#LT [259.84ms 0.25Mbps]
195.238.126.11:443#LT [261.04ms 0.19Mbps]
185.80.128.20:443#LT [266.22ms 0.24Mbps]
185.80.128.80:443#LT [268.54ms 0.20Mbps]
188.253.23.155:443#LT [213.94ms 0.98Mbps]
216.173.68.33:443#LT [278.04ms 0.18Mbps]
72.56.5.222:443#LT [300.65ms 0.26Mbps]
85.206.161.198:443#LT [312.60ms 0.20Mbps]
