195.238.126.11:443#LV [234.44ms 2.03Mbps]
95.182.90.45:8443#LV [260.47ms 2.07Mbps]
216.173.68.33:443#LV [261.62ms 1.63Mbps]
5.34.213.40:443#LV [276.58ms 2.29Mbps]
89.125.248.243:443#LV [279.35ms 1.16Mbps]
85.206.161.200:443#LV [236.77ms 0.33Mbps]
213.252.246.17:8443#LV [257.50ms 0.64Mbps]
85.206.161.198:443#LV [237.52ms 0.17Mbps]
185.80.128.24:8443#LV [254.26ms 0.16Mbps]
45.43.76.30:443#LV [304.60ms 0.92Mbps]
213.183.55.153:8443#LV [274.11ms 0.38Mbps]
185.80.128.20:443#LV [267.82ms 0.24Mbps]
5.34.214.205:443#LV [247.03ms 0.51Mbps]
188.253.19.202:2053#LV [293.40ms 0.28Mbps]
185.242.106.205:443#LV [300.31ms 0.28Mbps]
185.80.129.84:443#LV [305.78ms 0.16Mbps]
185.80.128.80:443#LV [327.03ms 0.17Mbps]
31.56.27.129:443#LV [258.76ms 1.65Mbps]
192.144.39.33:443#LV [336.97ms 0.25Mbps]
5.61.89.87:8443#LV [347.83ms 0.32Mbps]
