216.238.79.83:8443#MX [267.82ms 2.28Mbps]
216.238.80.148:8443#MX [255.62ms 0.99Mbps]
216.238.79.164:443#MX [278.58ms 2.64Mbps]
38.213.228.91:443#MX [282.14ms 0.72Mbps]
216.238.88.154:8443#MX [254.59ms 0.34Mbps]
216.238.72.72:443#MX [278.11ms 1.89Mbps]
38.213.228.141:443#MX [284.30ms 0.27Mbps]
216.238.82.140:8443#MX [265.06ms 0.34Mbps]
216.238.78.167:443#MX [279.35ms 1.51Mbps]
131.196.253.141:443#MX [314.65ms 1.12Mbps]
131.196.254.151:443#MX [316.34ms 1.35Mbps]
131.196.254.212:443#MX [274.99ms 0.47Mbps]
