195.133.81.234:443#NL [241.72ms 0.77Mbps]
72.56.77.30:2083#NL [227.67ms 0.45Mbps]
213.188.223.161:443#NL [200.13ms 0.16Mbps]
37.220.85.113:8443#NL [234.78ms 0.50Mbps]
172.65.179.58:443#NL [250.72ms 2.27Mbps]
85.193.91.193:2053#NL [317.69ms 0.46Mbps]
194.87.44.19:2053#NL [243.28ms 0.58Mbps]
80.85.246.45:8443#NL [288.79ms 0.52Mbps]
176.42.68.134:2083#NL [339.40ms 1.67Mbps]
72.56.21.244:443#NL [238.32ms 0.18Mbps]
172.233.44.161:443#NL [299.04ms 0.30Mbps]
80.68.156.226:443#NL [303.82ms 0.18Mbps]
194.87.134.130:443#NL [221.28ms 0.27Mbps]
172.233.46.239:443#NL [340.70ms 0.17Mbps]
85.155.191.72:2096#NL [277.74ms 0.34Mbps]
2.27.169.174:8443#NL [291.64ms 0.36Mbps]
31.57.196.139:8443#NL [322.87ms 0.33Mbps]
158.173.195.35:443#NL [305.93ms 0.33Mbps]
