185.126.64.7:8443#PL [314.39ms 3.99Mbps]
194.88.151.163:443#PL [312.17ms 3.53Mbps]
51.83.186.193:443#PL [245.42ms 3.59Mbps]
51.83.160.93:8443#PL [323.62ms 3.35Mbps]
78.140.223.131:443#PL [296.53ms 2.19Mbps]
145.239.90.29:443#PL [212.17ms 0.23Mbps]
141.101.90.106:443#PL [227.42ms 0.17Mbps]
145.239.88.255:2053#PL [380.17ms 2.01Mbps]
157.22.133.86:443#PL [264.15ms 0.19Mbps]
217.182.79.55:443#PL [257.92ms 0.28Mbps]
185.179.82.246:443#PL [308.00ms 0.16Mbps]
145.239.85.117:2053#PL [272.32ms 0.40Mbps]
86.107.198.133:2053#PL [324.99ms 0.32Mbps]
51.75.32.106:443#PL [278.33ms 0.42Mbps]
93.85.236.9:443#PL [330.49ms 0.20Mbps]
185.226.181.184:2053#PL [304.52ms 0.42Mbps]
195.137.244.47:2053#PL [351.39ms 0.48Mbps]
91.231.182.162:8443#PL [346.31ms 0.35Mbps]
