85.121.183.24:2087#RO [294.52ms 5.08Mbps]
193.142.58.170:8443#RO [294.28ms 4.33Mbps]
193.142.58.147:2087#RO [287.64ms 4.16Mbps]
178.214.211.99:443#RO [273.03ms 4.17Mbps]
85.120.229.219:443#RO [243.96ms 3.83Mbps]
93.185.165.175:443#RO [318.04ms 1.97Mbps]
82.152.132.14:443#RO [309.62ms 2.54Mbps]
82.152.132.50:443#RO [309.03ms 1.69Mbps]
82.117.255.237:8443#RO [313.50ms 4.08Mbps]
213.232.235.54:8443#RO [269.15ms 0.44Mbps]
185.39.30.18:8443#RO [284.23ms 0.38Mbps]
85.90.196.11:443#RO [294.88ms 0.53Mbps]
178.214.211.48:8443#RO [293.02ms 0.45Mbps]
38.180.253.71:443#RO [346.28ms 1.18Mbps]
217.156.67.86:443#RO [334.02ms 0.54Mbps]
85.121.177.192:2053#RO [332.11ms 0.45Mbps]
81.180.92.55:443#RO [346.74ms 0.37Mbps]
38.79.154.232:443#RO [349.46ms 0.38Mbps]
