185.130.46.202:443#SE [202.60ms 0.61Mbps]
193.163.170.26:443#SE [249.54ms 3.55Mbps]
62.182.196.230:8443#SE [213.77ms 0.49Mbps]
62.182.198.47:8443#SE [253.07ms 0.73Mbps]
193.163.170.180:443#SE [228.34ms 1.00Mbps]
45.12.28.202:443#SE [251.24ms 0.30Mbps]
95.182.90.125:443#SE [277.67ms 0.71Mbps]
132.243.206.187:8443#SE [265.88ms 0.48Mbps]
51.20.202.203:443#SE [215.95ms 0.32Mbps]
13.63.216.71:443#SE [303.36ms 0.51Mbps]
64.188.82.108:8443#SE [300.59ms 0.32Mbps]
194.68.32.99:443#SE [276.57ms 1.20Mbps]
13.140.9.211:443#SE [297.69ms 1.04Mbps]
37.203.209.18:8443#SE [346.13ms 1.52Mbps]
176.126.84.104:8443#SE [352.69ms 0.99Mbps]
62.182.195.6:443#SE [268.05ms 0.94Mbps]
62.182.198.178:443#SE [330.15ms 0.31Mbps]
206.168.215.172:443#SE [251.02ms 1.69Mbps]
196.196.5.28:443#SE [310.15ms 0.78Mbps]
