206.189.82.255:443#SG [116.50ms 12.00Mbps]
172.104.186.18:8443#SG [123.88ms 0.76Mbps]
172.237.81.164:443#SG [120.78ms 0.48Mbps]
172.65.90.28:443#SG [220.20ms 4.55Mbps]
165.232.173.161:443#SG [120.66ms 0.30Mbps]
185.220.68.230:443#SG [138.21ms 0.36Mbps]
168.144.102.226:443#SG [127.71ms 0.17Mbps]
118.27.150.97:8443#SG [156.56ms 0.93Mbps]
209.97.162.112:443#SG [123.77ms 0.37Mbps]
152.42.174.66:443#SG [136.12ms 0.37Mbps]
157.245.155.10:443#SG [123.78ms 0.24Mbps]
109.61.18.28:2087#SG [184.77ms 0.71Mbps]
152.42.235.119:443#SG [123.36ms 0.20Mbps]
188.166.245.164:443#SG [133.50ms 0.25Mbps]
152.69.213.60:2053#SG [263.78ms 1.25Mbps]
165.232.165.200:443#SG [160.10ms 0.37Mbps]
165.245.181.74:443#SG [128.96ms 0.46Mbps]
43.173.1.153:8443#SG [130.87ms 1.06Mbps]
172.65.90.31:443#SG [218.77ms 0.20Mbps]
168.138.176.180:443#SG [260.83ms 0.49Mbps]
172.65.90.29:443#SG [229.64ms 0.26Mbps]
171.83.48.117:8443#SG [69.99ms 0.23Mbps]
172.65.90.30:443#SG [245.96ms 0.29Mbps]
165.245.176.192:443#SG [270.42ms 0.25Mbps]
157.245.203.240:443#SG [282.21ms 0.37Mbps]
159.223.78.76:443#SG [288.72ms 0.41Mbps]
213.35.105.58:443#SG [254.78ms 0.45Mbps]
50.7.21.174:443#SG [264.16ms 0.66Mbps]
209.97.165.213:443#SG [263.56ms 0.26Mbps]
188.166.250.155:443#SG [268.06ms 0.26Mbps]
178.128.114.149:443#SG [268.50ms 0.39Mbps]
