217.11.164.172:2053#TR [275.74ms 15.82Mbps]
45.141.148.53:2053#TR [275.89ms 13.79Mbps]
37.221.79.54:8443#TR [326.22ms 12.68Mbps]
62.133.63.127:443#TR [252.37ms 6.94Mbps]
193.187.132.11:2053#TR [283.78ms 6.10Mbps]
167.104.219.197:2083#TR [319.41ms 4.25Mbps]
130.94.1.177:443#TR [248.15ms 2.13Mbps]
188.132.174.82:2053#TR [242.05ms 1.27Mbps]
212.115.103.222:8443#TR [313.66ms 2.01Mbps]
167.104.219.81:443#TR [274.10ms 0.41Mbps]
203.202.232.110:443#TR [281.87ms 2.43Mbps]
93.115.10.218:8443#TR [333.09ms 0.23Mbps]
