95.40.227.67:443#US [112.32ms 4.96Mbps]
172.67.152.156:443#US [191.91ms 4.31Mbps]
104.26.0.70:443#US [163.73ms 4.29Mbps]
104.17.233.66:443#US [174.69ms 3.44Mbps]
104.17.232.82:443#US [196.25ms 3.81Mbps]
104.17.236.246:443#US [170.70ms 3.26Mbps]
104.17.228.85:443#US [192.76ms 4.05Mbps]
104.26.0.246:443#US [227.88ms 4.08Mbps]
172.67.152.193:443#US [195.40ms 3.12Mbps]
172.67.64.110:443#US [199.81ms 3.24Mbps]
104.17.224.32:443#US [190.64ms 2.86Mbps]
172.67.157.201:443#US [204.15ms 3.22Mbps]
172.67.69.121:443#US [192.27ms 4.15Mbps]
172.66.45.61:443#US [196.27ms 2.96Mbps]
172.67.154.67:443#US [197.46ms 2.93Mbps]
104.17.255.226:443#US [193.56ms 3.78Mbps]
172.67.171.254:443#US [223.44ms 3.59Mbps]
