172.64.153.2:443#HK [53.96ms 75.47Mbps]
162.159.141.246:443#HK [55.59ms 74.36Mbps]
104.18.34.254:443#HK [57.70ms 76.11Mbps]
171.83.48.117:8443#SG [65.68ms 0.33Mbps]
104.17.184.153:443#HK [74.24ms 3.65Mbps]
104.19.41.86:443#HK [74.26ms 1.47Mbps]
104.17.25.11:443#HK [74.98ms 1.74Mbps]
104.17.120.255:443#HK [75.12ms 1.45Mbps]
104.17.179.251:443#HK [75.77ms 2.10Mbps]
104.17.107.139:443#HK [76.59ms 4.75Mbps]
104.17.28.234:443#HK [76.64ms 2.08Mbps]
104.19.36.183:443#HK [76.84ms 1.75Mbps]
104.19.155.178:443#HK [77.44ms 1.81Mbps]
104.16.250.64:443#HK [77.50ms 3.44Mbps]
104.17.184.109:443#HK [77.61ms 2.31Mbps]
104.17.30.129:443#HK [77.65ms 1.62Mbps]
104.19.42.242:443#HK [77.72ms 1.53Mbps]
104.17.147.208:443#HK [78.47ms 3.60Mbps]
104.16.241.205:443#HK [78.56ms 3.90Mbps]
104.17.180.105:443#HK [78.88ms 2.96Mbps]
104.16.158.101:443#HK [79.23ms 3.01Mbps]
104.16.150.185:443#HK [79.38ms 2.49Mbps]
104.17.165.126:443#HK [79.50ms 2.36Mbps]
104.16.251.158:443#HK [80.23ms 3.67Mbps]
104.19.148.219:443#HK [80.31ms 3.83Mbps]
104.16.146.252:443#HK [80.63ms 1.72Mbps]
104.17.218.122:443#HK [80.88ms 1.93Mbps]
104.16.144.161:443#HK [81.05ms 1.84Mbps]
104.17.185.2:443#HK [81.08ms 2.17Mbps]
104.17.218.35:443#HK [81.36ms 2.11Mbps]
104.17.105.187:443#HK [81.45ms 2.76Mbps]
104.17.185.34:443#HK [81.52ms 2.17Mbps]
104.19.55.56:443#HK [81.57ms 3.38Mbps]
104.17.20.55:443#HK [81.63ms 2.04Mbps]
104.19.154.218:443#HK [81.81ms 2.21Mbps]
104.19.149.182:443#HK [82.42ms 2.14Mbps]
104.18.45.44:443#HK [82.61ms 2.75Mbps]
104.19.156.218:443#HK [82.81ms 1.95Mbps]
104.17.106.39:443#HK [82.94ms 2.31Mbps]
104.16.148.187:443#HK [83.20ms 3.27Mbps]
104.16.240.81:443#HK [83.25ms 2.00Mbps]
104.17.217.102:443#HK [83.42ms 2.05Mbps]
104.19.60.160:443#HK [83.64ms 1.96Mbps]
104.17.146.103:443#HK [83.89ms 3.25Mbps]
104.17.144.245:443#HK [84.00ms 3.63Mbps]
172.64.229.202:443#HK [84.11ms 2.18Mbps]
104.19.154.105:443#HK [84.21ms 2.05Mbps]
104.17.179.79:443#HK [84.24ms 2.79Mbps]
104.19.33.252:443#HK [84.78ms 2.76Mbps]
207.56.137.174:443#TW [85.54ms 0.46Mbps]
104.19.38.34:443#HK [87.77ms 2.84Mbps]
104.17.49.78:443#HK [88.64ms 2.14Mbps]
157.254.198.27:443#JP [92.94ms 0.32Mbps]
64.83.39.176:443#JP [102.33ms 0.41Mbps]
50.7.21.174:443#SG [107.52ms 1.26Mbps]
152.69.213.60:2053#SG [114.99ms 1.35Mbps]
172.237.81.164:443#SG [116.26ms 0.59Mbps]
157.245.203.240:443#SG [116.36ms 0.21Mbps]
188.166.250.155:443#SG [117.24ms 0.43Mbps]
159.223.78.76:443#SG [117.57ms 0.38Mbps]
157.230.193.169:443#SG [119.30ms 0.38Mbps]
152.42.235.119:443#SG [119.46ms 0.21Mbps]
172.232.240.6:443#ID [120.73ms 0.42Mbps]
168.144.102.226:443#SG [120.87ms 0.18Mbps]
188.166.245.164:443#SG [121.62ms 0.38Mbps]
157.245.155.10:443#SG [122.49ms 0.38Mbps]
178.128.114.149:443#SG [122.69ms 0.26Mbps]
206.189.82.255:443#SG [123.37ms 17.61Mbps]
168.144.97.78:443#SG [124.31ms 0.21Mbps]
18.166.216.113:443#JP [125.47ms 2.02Mbps]
172.104.186.18:8443#SG [126.84ms 0.86Mbps]
165.232.165.200:443#SG [126.99ms 0.20Mbps]
172.232.246.133:8443#ID [127.45ms 29.37Mbps]
172.237.6.212:443#JP [129.02ms 0.91Mbps]
147.139.189.225:443#SG [130.18ms 0.22Mbps]
185.220.68.230:443#SG [130.27ms 0.47Mbps]
146.56.151.92:443#KR [133.41ms 0.26Mbps]
47.80.57.116:443#KR [139.60ms 2.10Mbps]
118.27.150.97:8443#SG [144.31ms 1.39Mbps]
64.227.174.213:2053#IN [146.14ms 4.40Mbps]
3.112.67.101:443#JP [146.71ms 0.58Mbps]
168.144.155.167:443#IN [147.34ms 0.52Mbps]
64.204.48.118:8443#JP [147.38ms 3.34Mbps]
43.173.1.153:8443#SG [150.99ms 1.97Mbps]
167.71.238.69:443#IN [152.92ms 0.43Mbps]
168.144.68.202:443#IN [155.25ms 0.47Mbps]
64.227.164.129:443#IN [158.54ms 0.46Mbps]
168.144.154.79:443#IN [159.25ms 0.46Mbps]
139.84.156.127:443#IN [159.28ms 0.67Mbps]
20.219.46.208:8443#IN [160.38ms 0.66Mbps]
45.192.242.145:443#JP [161.20ms 0.35Mbps]
68.233.107.29:443#IN [163.77ms 0.38Mbps]
45.93.30.168:443#KR [166.24ms 0.70Mbps]
157.20.27.35:443#IN [170.55ms 0.46Mbps]
133.18.105.95:443#JP [171.70ms 2.00Mbps]
43.165.191.60:443#JP [172.38ms 0.38Mbps]
61.245.10.8:443#PH [175.74ms 0.46Mbps]
104.20.50.248:443#DE [175.93ms 0.81Mbps]
43.164.134.99:443#KR [176.34ms 0.50Mbps]
124.156.215.193:443#JP [177.05ms 0.30Mbps]
45.192.243.176:443#JP [179.52ms 0.96Mbps]
43.163.244.175:443#JP [179.59ms 2.12Mbps]
104.20.50.85:443#DE [182.22ms 0.38Mbps]
104.20.50.136:443#DE [184.11ms 4.87Mbps]
104.20.51.238:443#DE [187.38ms 4.78Mbps]
216.10.243.159:443#IN [189.23ms 0.31Mbps]
43.133.251.155:443#KR [190.16ms 0.27Mbps]
104.20.63.208:443#DE [192.04ms 4.50Mbps]
104.20.61.188:443#DE [193.64ms 0.28Mbps]
124.156.208.160:443#JP [194.10ms 2.91Mbps]
45.147.49.183:443#IE [194.25ms 1.01Mbps]
109.61.18.28:2087#SG [194.99ms 1.03Mbps]
91.132.93.153:443#SA [195.07ms 0.23Mbps]
162.159.160.247:443#DE [195.62ms 0.61Mbps]
125.7.24.251:443#AU [195.73ms 1.17Mbps]
104.20.58.142:443#DE [196.20ms 0.49Mbps]
152.53.3.249:2096#AT [196.40ms 0.37Mbps]
104.20.58.36:443#DE [196.71ms 3.09Mbps]
45.93.31.34:443#KR [197.01ms 0.27Mbps]
104.20.54.47:443#DE [197.34ms 4.17Mbps]
104.20.49.176:443#DE [197.99ms 4.49Mbps]
104.20.48.194:443#DE [198.56ms 0.62Mbps]
188.208.110.35:2096#ZA [199.61ms 0.54Mbps]
217.60.63.206:2053#FR [199.70ms 1.22Mbps]
45.192.243.42:443#JP [200.18ms 0.75Mbps]
104.20.58.31:443#DE [201.44ms 0.22Mbps]
172.237.0.160:443#JP [202.13ms 4.94Mbps]
65.2.215.47:8443#IN [203.77ms 0.65Mbps]
95.182.81.172:443#FR [204.43ms 1.26Mbps]
104.20.51.22:443#DE [208.95ms 0.46Mbps]
104.20.53.53:443#DE [212.17ms 2.21Mbps]
145.239.90.29:443#PL [212.17ms 0.23Mbps]
172.65.90.83:443#AE [214.32ms 0.21Mbps]
57.131.32.25:2053#IT [214.62ms 0.48Mbps]
78.17.180.30:443#ES [214.74ms 0.82Mbps]
162.141.93.191:443#ES [215.15ms 0.20Mbps]
104.20.51.63:443#DE [216.33ms 0.32Mbps]
52.66.200.252:443#IN [217.18ms 0.28Mbps]
104.20.59.215:443#DE [218.36ms 0.43Mbps]
45.153.48.132:443#DK [218.64ms 3.15Mbps]
38.180.225.247:2053#HU [219.93ms 0.80Mbps]
141.101.90.124:443#ES [220.23ms 0.76Mbps]
104.20.54.3:443#DE [220.45ms 0.61Mbps]
141.101.90.116:443#ES [220.73ms 1.01Mbps]
92.113.150.186:8443#DK [221.27ms 3.96Mbps]
45.137.150.223:443#FR [221.44ms 0.48Mbps]
51.20.202.203:443#SE [221.73ms 2.02Mbps]
45.13.38.118:443#AT [221.75ms 0.23Mbps]
172.65.90.45:443#RU [223.64ms 0.45Mbps]
141.101.90.108:443#AT [223.66ms 2.18Mbps]
188.253.25.189:8443#NL [223.66ms 0.45Mbps]
172.65.90.82:443#AE [224.29ms 0.19Mbps]
104.20.51.80:443#DE [224.45ms 0.36Mbps]
104.18.20.22:443#GB [224.94ms 0.27Mbps]
104.29.125.232:443#GB [226.21ms 0.29Mbps]
162.159.147.39:443#GB [226.42ms 0.17Mbps]
192.144.39.33:443#LV [226.51ms 0.20Mbps]
162.159.160.196:443#DE [226.53ms 0.56Mbps]
206.168.133.137:443#AU [226.64ms 1.25Mbps]
162.159.132.52:443#GB [226.68ms 0.19Mbps]
141.101.90.106:443#PL [227.42ms 0.17Mbps]
162.159.146.131:443#GB [227.86ms 0.26Mbps]
45.148.31.204:443#DK [227.98ms 2.41Mbps]
104.20.58.213:443#DE [228.56ms 0.43Mbps]
104.18.85.186:443#GB [228.62ms 0.19Mbps]
104.18.94.37:443#GB [228.78ms 0.26Mbps]
172.65.90.28:443#SG [229.15ms 0.20Mbps]
172.65.90.51:443#TW [229.20ms 0.68Mbps]
162.159.147.207:443#GB [229.24ms 0.28Mbps]
141.101.90.112:443#IT [229.26ms 0.19Mbps]
104.18.19.135:443#GB [229.26ms 0.21Mbps]
104.18.90.209:443#GB [229.34ms 0.20Mbps]
172.65.90.50:443#TW [229.55ms 0.20Mbps]
152.67.70.113:2053#CH [230.16ms 0.37Mbps]
162.159.129.34:443#GB [230.18ms 0.20Mbps]
141.101.90.109:443#AT [230.41ms 2.61Mbps]
162.159.147.50:443#GB [230.55ms 0.22Mbps]
162.159.156.93:443#GB [230.82ms 0.40Mbps]
141.101.90.125:443#ES [231.09ms 0.19Mbps]
104.20.61.224:443#DE [231.18ms 1.02Mbps]
104.18.87.210:443#GB [231.54ms 0.26Mbps]
104.18.88.95:443#GB [231.74ms 0.25Mbps]
141.193.213.16:443#GB [231.94ms 0.31Mbps]
172.65.90.81:443#TR [232.07ms 0.60Mbps]
